Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Alexander Alexeyev,L,D,72.0,1.0,7.0,8.0,-10.0,0.11,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.1,14.883333333333333
Alexander Barabanov,L,L,184.0,29.0,70.0,99.0,-59.0,0.54,24.0,76.0,5.0,23.0,0.0,0.0,1.0,3.0,290.0,10.0,17.183333333333334
Alexander Edler,L,D,105.0,5.0,25.0,30.0,17.0,0.29,5.0,29.0,0.0,0.0,0.0,1.0,0.0,2.0,110.0,4.6,16.216666666666665
Alexander Holtz,R,R,110.0,19.0,15.0,34.0,-26.0,0.31,16.0,29.0,3.0,5.0,0.0,0.0,0.0,3.0,155.0,12.3,11.45
Alexander Kerfoot,L,C,246.0,36.0,92.0,128.0,12.0,0.52,29.0,104.0,4.0,16.0,3.0,8.0,0.0,5.0,353.0,10.2,15.75
Alexander Radulov,L,R,71.0,4.0,18.0,22.0,-20.0,0.31,3.0,14.0,1.0,8.0,0.0,0.0,0.0,2.0,92.0,4.4,14.1
Alexander Romanov,L,D,236.0,12.0,45.0,57.0,27.0,0.24,12.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,324.0,3.7,20.25
Alexander Wennberg,L,C,241.0,34.0,71.0,105.0,-33.0,0.44,24.0,82.0,9.0,21.0,1.0,2.0,0.0,9.0,286.0,11.9,18.183333333333334
Alexandre Carrier,R,D,193.0,9.0,50.0,59.0,33.0,0.31,7.0,52.0,1.0,5.0,1.0,2.0,1.0,3.0,220.0,4.1,19.466666666666665
Alexandre Texier,L,C,114.0,23.0,27.0,50.0,-5.0,0.44,20.0,44.0,0.0,2.0,3.0,4.0,0.0,1.0,168.0,13.7,15.0
Alexey Toropchenko,L,R,179.0,26.0,16.0,42.0,-6.0,0.23,23.0,39.0,0.0,0.0,3.0,3.0,0.0,1.0,243.0,10.7,12.066666666666666
Alexis Lafrenière,L,L,242.0,63.0,64.0,127.0,14.0,0.52,58.0,115.0,5.0,12.0,0.0,0.0,2.0,11.0,462.0,13.6,15.516666666666667
Aliaksei Protas,L,C,169.0,13.0,40.0,53.0,-7.0,0.31,13.0,51.0,0.0,1.0,0.0,1.0,0.0,1.0,230.0,5.7,12.6
Anders Bjork,L,L,72.0,7.0,9.0,16.0,-10.0,0.22,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,10.6,12.383333333333333
Anders Lee,L,L,239.0,76.0,57.0,133.0,-12.0,0.56,56.0,101.0,20.0,32.0,0.0,0.0,0.0,9.0,558.0,13.6,16.466666666666665
Andre Burakovsky,L,L,178.0,42.0,74.0,116.0,-12.0,0.65,29.0,82.0,13.0,34.0,0.0,0.0,2.0,9.0,346.0,12.1,15.866666666666667
Andreas Athanasiou,L,C,137.0,33.0,33.0,66.0,-29.0,0.48,30.0,56.0,3.0,10.0,0.0,0.0,2.0,7.0,290.0,11.4,15.25
Andreas Englund,L,D,129.0,1.0,13.0,14.0,-4.0,0.11,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.4,12.816666666666666
Andreas Johnsson,L,L,84.0,13.0,25.0,38.0,-2.0,0.45,12.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,132.0,9.9,14.216666666666667
Andrei Kuzmenko,R,L,153.0,61.0,59.0,120.0,0.0,0.78,39.0,82.0,22.0,38.0,0.0,0.0,3.0,8.0,264.0,23.1,15.6
Andrei Svechnikov,L,R,201.0,72.0,104.0,176.0,38.0,0.88,53.0,121.0,19.0,55.0,0.0,0.0,1.0,17.0,598.0,12.0,17.433333333333334
Andrej Sekera,L,D,32.0,1.0,3.0,4.0,-3.0,0.13,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.9,13.716666666666667
Andrej Sustr,R,D,38.0,1.0,5.0,6.0,-4.0,0.16,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.6,14.716666666666667
Andrew Cogliano,L,C,228.0,20.0,34.0,54.0,-1.0,0.24,18.0,46.0,0.0,0.0,2.0,8.0,0.0,0.0,221.0,9.1,11.966666666666667
Andrew Copp,L,C,233.0,43.0,85.0,128.0,15.0,0.55,34.0,103.0,5.0,18.0,4.0,7.0,2.0,10.0,412.0,10.4,17.833333333333332
Andrew Ladd,L,L,51.0,7.0,5.0,12.0,-20.0,0.24,4.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,57.0,12.3,14.116666666666667
Andrew Mangiapane,L,L,239.0,66.0,72.0,138.0,39.0,0.58,51.0,114.0,12.0,18.0,3.0,6.0,0.0,9.0,489.0,13.5,16.183333333333334
Andrew Peeke,R,D,200.0,9.0,29.0,38.0,-56.0,0.19,9.0,36.0,0.0,0.0,0.0,2.0,0.0,1.0,199.0,4.5,20.416666666666668
Andy Greene,L,D,69.0,2.0,8.0,10.0,-13.0,0.14,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.9,17.416666666666668
Anthony Beauvillier,L,L,217.0,35.0,56.0,91.0,-28.0,0.42,25.0,72.0,10.0,19.0,0.0,0.0,1.0,6.0,435.0,8.1,15.716666666666667
Anthony Cirelli,L,C,213.0,48.0,69.0,117.0,30.0,0.55,36.0,95.0,7.0,17.0,5.0,5.0,2.0,8.0,386.0,12.4,17.916666666666668
Anthony Duclair,L,L,167.0,57.0,52.0,109.0,15.0,0.65,43.0,76.0,14.0,33.0,0.0,0.0,1.0,6.0,339.0,16.8,15.316666666666666
Anthony Mantha,L,R,178.0,43.0,51.0,94.0,7.0,0.53,39.0,82.0,4.0,12.0,0.0,0.0,0.0,2.0,314.0,13.7,14.416666666666666
Anthony Richard,L,C,22.0,4.0,4.0,8.0,2.0,0.36,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,21.1,10.216666666666667
Antoine Roussel,L,L,53.0,4.0,4.0,8.0,-16.0,0.15,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,6.8,12.15
Anton Blidh,L,L,47.0,2.0,7.0,9.0,-6.0,0.19,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.3,9.383333333333333
Anton Lundell,L,C,216.0,43.0,69.0,112.0,53.0,0.52,38.0,91.0,2.0,14.0,3.0,7.0,1.0,7.0,443.0,9.7,15.816666666666666
Anton Stralman,R,D,82.0,8.0,15.0,23.0,-19.0,0.28,8.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,8.2,20.75
Anze Kopitar,L,C,244.0,73.0,138.0,211.0,25.0,0.86,50.0,141.0,22.0,65.0,1.0,5.0,0.0,14.0,512.0,14.3,20.25
Arber Xhekaj,L,D,95.0,8.0,15.0,23.0,-3.0,0.24,6.0,20.0,2.0,3.0,0.0,0.0,0.0,0.0,136.0,5.9,15.566666666666666
Artem Zub,R,D,203.0,14.0,43.0,57.0,8.0,0.28,13.0,56.0,0.0,0.0,1.0,1.0,0.0,0.0,218.0,6.4,20.833333333333332
